created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jan 31 07:17:18 +0000 2024;1752591871820562448;"@bengkeldodo @DokterTifa @Ndons_Back @are_inismyname @99propaganda @4Y4NKZ @AndreasSolusi @AlmaghribiS @B_Hendratmo1 @BabehAldoAje135 @xquitavee Dr.Tifa sih dokter abal2. Dokter percaya nyamuk Wolbachia bisa bikin org jd LGBT..🙈.";0;0;0;0;in;1552367853109530624;1750352394238792128;A4H74976106;https://twitter.com/A4H74976106/status/1752591871820562448
Tue Jan 30 09:48:33 +0000 2024;1752267549251965332;"VIDEO CEK FAKTA: Nyamuk Wolbachia Bikin LGBT. Masa Iya? https://t.co/ST2iJDIew5";0;0;0;0;in;47596019;1752267549251965332;liputan6dotcom;https://twitter.com/liputan6dotcom/status/1752267549251965332
Tue Jan 30 09:47:03 +0000 2024;1752267171277996094;"VIDEO CEK FAKTA: Nyamuk Wolbachia Bikin LGBT. Masa Iya? https://t.co/TBbxQkIPT4 #CekFakta";1;0;0;0;in;47596019;1752267171277996094;liputan6dotcom;https://twitter.com/liputan6dotcom/status/1752267171277996094
Wed Jan 10 00:36:14 +0000 2024;1744880794714378502;"@DokterTifa Udah lah Dokter(?) Tifa. Mending urusin nyamuk wolbachia kamu yg bisa bikin orang jadi LGBT..🙈🤣#rada2#gila#sinting";0;0;0;0;in;1552367853109530624;1744850743738442169;A4H74976106;https://twitter.com/A4H74976106/status/1744880794714378502
Wed Dec 27 04:36:25 +0000 2023;1739867809218433506;"@StopPlandemit Iya mak. LGBT di dunia nyamuk. Dan kemumgkinan juga kalo sperti penjelasan telur wolbachia masuk darah manusia, jika bisa adaptasi ya bisa mengifeksi manusia. Bisa2 manusia bisa jadi LGBT juga, takutnya gitu. Ada itu di podcast dr Richard sama Dr Tifa.";0;1;0;1;in;2976157944;1739841890466627661;sasaranbina;https://twitter.com/sasaranbina/status/1739867809218433506
Wed Dec 27 04:13:58 +0000 2023;1739862158530556144;"@StopPlandemit Infonya wolbachia menyebabkan jadi LGBT. Bahaya banget anjirr";0;3;1;3;in;2976157944;1739841890466627661;sasaranbina;https://twitter.com/sasaranbina/status/1739862158530556144
Mon Dec 25 17:12:14 +0000 2023;1739333240954261808;"@S4N_W1B1 Ini org tolol nya ga kira2. Tp lebih lagi tolol org2 yg percaya. Biar dikasih tulisan segede gajah, kl ga bisa Inggeris mana bisa baca &amp  ngomong? Dokter konspirasi yg bilang Bill Gate bikin nyamuk lgbt wolbachia yg bisa rubah sexual preference &amp  utk kurangin populasi.";0;1;0;0;in;1552367853109530624;1739092156361715790;A4H74976106;https://twitter.com/A4H74976106/status/1739333240954261808
Mon Dec 25 15:10:04 +0000 2023;1739302494554165503;"@PartaiSocmed @DokterTifa Lagian ngapain ladénin org edan. Dokter ahli konspirasi. Dari covid vaksin sampai nyamuk LGBT wolbachia..🙈.";0;1;0;0;in;1552367853109530624;1739267582220538157;A4H74976106;https://twitter.com/A4H74976106/status/1739302494554165503
Mon Dec 25 05:32:23 +0000 2023;1739157117536550972;"Nyamuk Wolbachia menyebabkan LGBT? Hoax tersebut berasal dari berbagai penelitian seperti yang ini dan orang2 yang awam atau yang malas baca secara keseluruhan. Fakta: "Feminisasi yang disebabkan oleh Wolbachia hanya dilaporkan pada isopoda" https://t.co/46POueNRms https://t.co/2WfJrIdxqC";1;3;3;14;in;1613929735020773376;1739157117536550972;TedInvestigasi;https://twitter.com/TedInvestigasi/status/1739157117536550972
Sat Dec 23 08:08:24 +0000 2023;1738471605565870482;"Nyamuk Wolbachia Dikaitkan dengan LGBT, Begini Keterangan Kemenkes https://t.co/L9v4P8zNoE";0;0;0;0;in;350668803;1738471605565870482;indozonemedia;https://twitter.com/indozonemedia/status/1738471605565870482
